"Player","WS/48","Composite.Rating","Age","Is.Big","Is.Guard"
"Marquese Chriss",0.05,-0.778629082845967,1,1,0
"Jason Maxiell",-0.054,-0.035193291108846,4,1,0
"Jeff Adrien",0.051,-0.815800872432823,6,1,0
"Kendrick Nunn",0.061,-0.964488030780247,6,0,1
"Shabazz Napier",0.024,-1.63358024334366,5,0,1
"Darnell Jackson",0.094,-1.37337771623566,5,1,0
"Steve Novak",0.091,-0.964488030780247,5,0,0
"Caleb Martin",0.081,-1.15034697871453,6,0,0
"PJ Tucker",0.074,-1.78226740169108,9,0,1
"Chris Quinn",0.07,-1.63358024334366,5,0,1
"Jake Layman",-0.054,-1.33620592664881,4,0,0
"Darren Collison",0.067,-2.48853140384134,4,0,1
"Gary Forbes",0.055,-0.295395818216838,7,0,0
"Joakim Noah",0.12,-1.52206487458309,4,1,0
"Eddie Basden",0.065,-1.96812634962536,4,0,0
"Jonah Bolden",0.106,-0.18388044945627,5,1,0
"Salim Stoudamire",0.046,-1.41054950582252,5,0,1
"Bryce DejeanJones",0.033,-1.89378277045165,5,0,1
"Marcus GeorgesHunt",0.049,-2.22832887673335,5,0,1
"Kawhi Leonard",0.171,-0.629941924498543,2,0,0
"Allen Crabbe",0.088,-1.48489308499623,4,0,1
"Luke Harangody",0.048,-1.9309545600385,5,1,0
"Christian Wood",0.097,-0.518426555737975,2,1,0
"DeAndre Hunter",0.001,-1.5964084537568,4,0,0
"Malcolm Brogdon",0.1,-2.33984424549392,6,0,1
"James Augustine",0.098,-1.74509561210422,5,1,0
"Brad Wanamaker",0.134,-2.15398529755964,11,0,1
"Jermareo Davidson",-0.012,-1.37337771623566,5,0,0
